company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Cell Propulsion,Data Entry Operator,3.8,Bengaluru,10000,/mo (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.7,2.9,3.3,3.2,3.2
Zeitview,Analyst - QC data labelling,3.2,Bengaluru,505240,/yr (est.),1 to 50 Employees,2014,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3,2.7,3.3,3.1,3.6
Hotspot Retail,Data Analyst,,Remote,3500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Riddhi Siddhi Career Point,Junior Data Analyst,,India,21500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Merck KGaA Darmstadt Germany,"Data Analytics - TrackWise, Veeva, Palantir Foundry",4,Bengaluru,705220,/yr (est.),10000+ Employees,1668,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3.5,3.8,3.9,3.4,3.9
RARR Technologies Pvt Ltd,Specialist- Data Sciences,4.7,Remote,5200000,/yr (est.),1 to 50 Employees,2018,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
ABB,R&D associate Engineer- Data Science,4,Bengaluru,575393,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
BHIVE Workspace,Associate – Data Management and Analysis,4.1,Bengaluru,354599,/yr (est.),51 to 200 Employees,2014,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.1,3.6,3.9,4,3.9
Websar Technologies LLP,Data Scientist Gen AI,,Remote,902216,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Bursys,Data Analyst Tranee,3.7,Panchkula,529150,/yr (est.),51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.7,3.5,3.5,3.5,3.5
Tata Consultancy Services,Data Analyst,3.8,Chennai,398701,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Log9 Materials,Data Scientist,3.9,Bengaluru,363878,/yr (est.),51 to 200 Employees,2015,Company - Private,Electronics Manufacturing,Electronics Manufacturing,Unknown / Non-Applicable,4.1,3.6,4.1,3.6,3.8
Parentune,Data Transformer(Internship),,Gurgaon,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.1,3.8,3.9,3.6,3.4
Codash Solutions,Data Engineer,,Remote,82501,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
ICON,Lab Data Analyst I,3.8,Bengaluru,421485,/yr (est.),10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.6,3.5,3.7,3.4,3.7
Nineleaps Technology Solutions Pvt Ltd,Data Analyst,4.2,Bengaluru,572576,/yr (est.),201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.1,3.8,4,3.8,3.8
Google,"Business Data Scientist, Finance",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
adyog,Data Scientist,,Chennai,632851,/yr (est.),1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,5,4.1,4.1,5,4.5
Pattern Effects Labs,Data Scientist,,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Streamingo Solutions Office,Data Labeling Quality Specialist,,Bengaluru,322452,/yr (est.),1 to 50 Employees,2015,Company - Private,Software Development,Software Development,Less than $1 million (USD),3.8,3.7,4.1,3.7,3.9
COMPEGENCE,Excel Data Scientist with Python and SQL,,Bengaluru,115000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Amber Internet solutions,Data Analytics Intern,4.3,Pune,0,Unknown,501 to 1000 Employees,2016,Company - Private,Internet & Web Services,Internet & Web Services,$5 to $25 million (USD),4.2,3.9,4.3,4.1,4
WovV Technologies,"Data Engineer (GIS, ArcGIS, ESRI)",4.7,Remote,0,Unknown,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
Tata Consultancy Services,Data Enginner,3.8,Chennai,0,Unknown,10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Ameriprise India,Data Analyst-Digital Analytics,3.8,Gurgaon,0,Unknown,1001 to 5000 Employees,Unknown,Company - Private,Investment & Asset Management,Investment & Asset Management,Unknown / Non-Applicable,,,,,
Bradken,Data Scientist,4.3,Coimbatore,605338,/yr (est.),1001 to 5000 Employees,2003,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$100 to $500 million (USD),4.1,3.9,4.1,3.8,4.2
UBS,Data Analyst,3.9,Hyderābād,727518,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Tata Consultancy Services,Python + SQL,3.8,Hyderābād,419162,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Sea and Beyond,Data Analyst,5,Mumbai,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
S&P Global,Data Analyst,4.1,Bengaluru,0,Unknown,10000+ Employees,1860,Company - Public,Research & Development,Research & Development,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
SeedApps Technology Services,Data Analyst,,Coimbatore,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Tata consulting engineers,Data Entry Cum Office Assistant,3.8,Bengaluru,346627,/yr (est.),1001 to 5000 Employees,1962,Company - Private,Architectural & Engineering Services,Architectural & Engineering Services,$25 to $50 million (USD),3.7,3.3,3.9,3.4,3.6
Google,"Product Data Scientist, Pixel",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Kovai.co,Data Analyst,4.5,Coimbatore,438621,/yr (est.),51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.6,4.1,4.3,4.5,4.5
JPMorgan Chase & Co,"Environmental, nature Data Modeller",4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Vernacular.ai,Data Annotator,3.8,Bengaluru,219333,/yr (est.),51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$1 to $5 million (USD),3.5,3.8,3.7,3.4,3.8
Comprinno Technologies Pvt. Ltd.,Data Science Engineer,,Remote,20000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Trelleborg Sealing Solutions (TSS),DATA ANALYST,3.7,Bengaluru,387298,/yr (est.),10000+ Employees,1905,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$2 to $5 billion (USD),3.3,3.5,3.3,3.2,3.3
Aspire SoftServ,Data Research Associate,,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Volvo Group,Experienced Data Scientist,4.1,Bengaluru,783182,/yr (est.),10000+ Employees,1927,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.8,3.8,4.1,3.7,4.1
Kudos India,Data Analysts,3.9,India,0,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.8,3.3,3.9,3.9,4.2
JPMorgan Chase & Co,Data Analytics Digital-Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Rackspace,Support Technician I - Data pipe,3.5,Remote,0,Unknown,1001 to 5000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),3.4,3.6,3.6,3.1,3.9
Scienaptic Systems,Data Scientist,4.1,India,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.1,4,4.2,3.9,4
Tata Consultancy Services,Data & Analytics Architect,3.8,Mumbai,393199,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Hudson's Bay Company,Jr. Data Analyst,3.6,Bengaluru,0,Unknown,10000+ Employees,1670,Company - Public,"Department, Clothing & Shoe Stores","Department, Clothing & Shoe Stores",$10+ billion (USD),3.2,3.1,3.4,3.1,3.5
Navikenz,Data Visualization,,India,0,Unknown,51 to 200 Employees,2021,Company - Private,Business Consulting,Business Consulting,$1 to $5 million (USD),4.5,3.9,4.5,4.5,4.5
WovV Technologies,Data Scientist,4.7,Pune,1000000,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
iXceed Solutions,Data Analyst,4.7,Gurgaon,2000000,/yr (est.),501 to 1000 Employees,2012,Company - Private,"Staffing, Recruitment & Subcontracting","Staffing, Recruitment & Subcontracting",$5 to $25 million (USD),4.7,4.4,4.7,4.6,4.7
NTT Ltd.,Specialist - Data Center Operations,4.2,Karnataka,0,Unknown,10000+ Employees,1952,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),4,3.6,4,3.7,4
RARR Technologies Pvt Ltd,Azure Data Engineer,4.7,Remote,2500000,/yr (est.),1 to 50 Employees,2018,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
kaleidofin,Data Analyst,3.4,Chennai,0,Unknown,51 to 200 Employees,2017,Company - Private,Investment & Asset Management,Investment & Asset Management,$5 to $25 million (USD),3.1,2.7,2.7,3,2.4
Hotspot Retail,Data Scientist,,Remote,3500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
AXA,Associate Scientist- Data Sourcing & Solutions,4,Bengaluru,798123,/yr (est.),10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance Carriers,$10+ billion (USD),3.6,3.6,3.9,3.5,3.9
Concord Technologies,Data Annotator,4.6,Chennai,423868,/yr (est.),51 to 200 Employees,1996,Company - Private,Computer Hardware Development,Computer Hardware Development,$25 to $50 million (USD),4.4,4.5,4.5,4.4,4.4
Tata Consultancy Services,Data Lineage Analyst,3.8,Pune,413398,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Metyis,Data Science Associate,3.7,Bengaluru,869483,/yr (est.),1001 to 5000 Employees,2013,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.8,3.3,3.9,3.5,4
Simplex Services,Data Analyst/Power BI Reporting,,India,0,Unknown,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.6,4.5,4.9,5,4.7
Wesco,India-Bangalore: Data Steward,3.7,Bengaluru,580948,/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
WSD Consultant,Junior Data Scientist/,5,Bengaluru,579655,/yr (est.),Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,3,4,5,4
Findem,Researcher- Data Operations,4.3,Bengaluru,0,Unknown,51 to 200 Employees,2019,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Infimetrics,Data Scientist (3+years),,Remote,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3,3,5,4,5
Vervali Systems Pvt. Ltd.,Data Engineer,4.1,Remote,0,Unknown,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4.2,3.3,4.4,4,4.2
Sai Computers Limited,Data Analyst Intern,,Ghaziabad,11000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
CIGNEX Datamatics,Data quality analysts/engineers,3.3,Bengaluru,500799,/yr (est.),501 to 1000 Employees,2000,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),3.2,3.1,3.3,2.9,3.4
Analyse Digital Business Solutions Pvt Ltd,Data Analyst,,Thiruvananthapuram,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Intercontinental Exchange,Data Associate,3.8,Hyderābād,409878,/yr (est.),5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Stock Exchanges,$5 to $10 billion (USD),3.5,3.7,3.5,3.3,3.6
Cummins,Data Engineer,4.1,Pune,0,Unknown,10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.9,3.6,4.2,3.7,4
Ericsson,Data Engineer,4.1,Noida,701100,/yr (est.),10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications Services,$10+ billion (USD),3.8,3.6,4.2,3.6,4.1
RARR Technologies Pvt Ltd,AWS Data Engineer,4.7,Remote,2500000,/yr (est.),1 to 50 Employees,2018,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
Valeo Health,Data Analyst,,Kormangala,800000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
"Ventra Health, Inc.",Data Engineer,3.3,India,0,Unknown,1001 to 5000 Employees,Unknown,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,Unknown / Non-Applicable,3.2,3,3.2,3,3.5
Orbit & Skyline Semiconductor,Data Analyst,,Mohali,500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Equifax,Data Scientist,3.5,Bengaluru,987421,/yr (est.),10000+ Employees,1899,Company - Public,Business Consulting,Business Consulting,$2 to $5 billion (USD),3.4,3.4,3.3,3.1,3.4
Schneider Electric,Data Engineer,4.2,Bengaluru,779846,/yr (est.),10000+ Employees,1836,Company - Public,Energy & Utilities,Energy & Utilities,$10+ billion (USD),4.1,3.8,4.2,3.8,4
M&C Saatchi Performance,"Analyst, Data and Analytics",4.3,Delhi,0,Unknown,51 to 200 Employees,2006,Company - Public,Advertising & Public Relations,Advertising & Public Relations,$5 to $25 million (USD),4.2,3.6,4.3,4.1,3.8
iCRC,BI Data Analyst,3.9,Bengaluru,460906,/yr (est.),10000+ Employees,1863,Non-profit Organisation,"Civic, Welfare & Social Services","Civic, Welfare & Social Services",Unknown / Non-Applicable,3.3,3.6,3.8,3.1,3.5
Hyqoo,Data Scientist,4.5,Remote,0,Unknown,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
UBS,Data Engineer,3.9,Pune,579471,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Google,"Business Data Scientist, Machine Learning Engineering",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Taurus Technologies Pvt. Ltd,Data Analyst,,India,600000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Cargill,Data Analyst - Price hub,4.1,Gurgaon,612372,/yr (est.),10000+ Employees,1865,Company - Private,Crop Production,Crop Production,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
Wipro,Azure Data Engineer,3.7,Hyderābād,588584,/yr (est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology Support Services,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
Amber Internet solutions,Data Analyst,4.3,Pune,494268,/yr (est.),501 to 1000 Employees,2016,Company - Private,Internet & Web Services,Internet & Web Services,$5 to $25 million (USD),4.2,3.9,4.3,4.1,4
BDIPlus,Data Engineer ||,4.1,Bengaluru,1025086,/yr (est.),Unknown,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.1,4,4,3.8,3.5
SUPERDNA 3D LAB,Data Analyst,4,Chandigarh,467012,/yr (est.),1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.1,3.5,4.2,4,4.2
vMD tech assist Pvt LTD,Clinical Data Handling (DOCTORS ONLY),,Hyderābād,60000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
UBS,Data Sourcing Analyst,3.9,Pune,693988,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Sea and Beyond,Data Entry,5,Mumbai,201246,/yr (est.),Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,5,5,5,5
JPMorgan Chase & Co,Data Operations Associate,4,Bengaluru,356835,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
UnitedHealthcare,Data Analyst 2,3.6,Bengaluru,663325,/yr (est.),10000+ Employees,Unknown,Company - Public,Healthcare Services & Hospitals,Healthcare Services & Hospitals,Unknown / Non-Applicable,3.6,3.5,3.7,3.3,3.6
Honeywell,Data Scientist II,4,Bengaluru,551990,/yr (est.),10000+ Employees,1885,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4.1,3.9,4,3.8,3.8
Nineleaps,Data Engineer,,Bengaluru,2500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
BridgeLoyalty,Data Analyst Job,,Mumbai,256905,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,1,1,1,1,1
"Magus Infotech India Pvt. Ltd.,",Trainee Big Data Consultant,,Mumbai,800000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
BigShyft,Data Engineer,3.9,Gurgaon,3000000,/yr (est.),1 to 50 Employees,2018,Company - Private,HR Consulting,HR Consulting,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Varuna Group,Data Entry Operator,,Raisen,84853,/yr (est.),1001 to 5000 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,2.9,2.7,3.2,3.1,2.5
Ambee,Data Scientist,,Bengaluru,579655,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Deloitte,Senior Analyst - CMG - Demand Gen - Data Analysis,4.1,Hyderābād,603440,/yr (est.),10000+ Employees,1850,Company - Private,Accounting & Tax,Accounting & Tax,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
Novartis,Digital/Device Data Scientist,3.9,Hyderābād,637972,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Ideal Education,Data Caller,,India,0,Unknown,501 to 1000 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,4,5,5,5
Nangia & Co LLP,Data Analyst,,Chennai,275768,/yr (est.),501 to 1000 Employees,1984,Private Practice / Firm,Accounting & Tax,Accounting & Tax,$100 to $500 million (USD),3.5,3.4,3.3,3,3.5
SmartHelio,Data Scientist,,Delhi,0,Unknown,1 to 50 Employees,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,4,3.5,4.5,5,3.5
Dignitas Digital,Data Scientists,4.2,Delhi,0,Unknown,1 to 50 Employees,2011,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,4.2,3.5,4.1,4.3,3.9
InfoKrafts,Data Engineer,5,Mumbai,591608,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,5,4,5,4
Microsoft,Data and Applied Scientist II,4.2,Bengaluru,607947,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
KPMG,Advisory Data Science Executive,3.8,Pune,400000,/yr (est.),10000+ Employees,1987,Company - Private,Business Consulting,Business Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Hashmap,Data and Analytics Managing Consultant,3.9,Bengaluru,794695,/yr (est.),10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.7,3.4,3.9,3.6,3.9
Moody's,Data Specialist,3.9,Bengaluru,806258,/yr (est.),10000+ Employees,1900,Company - Public,Research & Development,Research & Development,$2 to $5 billion (USD),3.4,3.4,3.8,3.4,3.7
Delivery Centric Technologies,Python & Data Modelling,4,Bengaluru,416655,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.8,3.7,3.6,3.7,4.1
ProductLife Group,Data Officer,3.4,Remote,0,Unknown,501 to 1000 Employees,1993,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),3.3,2.8,3.1,3,3.6
Amadeus,Data Engineer 2,4.1,Bengaluru,600000,/yr (est.),10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),3.9,3.8,4.2,3.6,4.3
JPMorgan Chase & Co,Data Owner - Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
ABB,Data Scientist,4,Bengaluru,773628,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Apple,Cloud Data Engineer,4.3,Hyderābād,0,Unknown,10000+ Employees,1976,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.2,4.1,3.9,4
iXie Gaming,Game Data Analyst,4.3,Bengaluru,649084,/yr (est.),501 to 1000 Employees,2011,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.3,3.9,4.3,4.2,4.4
JPMorgan Chase & Co,Know Your Customer - Client Data Analyst,4,Bengaluru,657267,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
BlackRock,Analyst Invoice Processing (Data Operations),4,Gurgaon,387158,/yr (est.),10000+ Employees,1988,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.9,3.7,3.9,3.6,3.6
Thinkproject Holding GmbH,Data Scientist (m/f/d),3.3,Pune,548368,/yr (est.),501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$100 to $500 million (USD),3.5,3.5,3.6,3.1,4
Genzeon India,Data Engineer,4.2,Pune,0,Unknown,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4.3,3.9,4,4.2,4.1
Aptus Data LAbs,Business Analyst/ Data Analyst,4.1,Bengaluru,440688,/yr (est.),51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4.1,3.8,3.8,3.8,4.2
JPMorgan Chase & Co,KYC Client Data Analyst,4,Hyderābād,639359,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Victoria Realtors,Data Analyst,3.3,India,350000,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.7,3.7,2.6,3.3,2.3
MetLife,Associate Data Scientist,3.9,Hyderābād,389954,/yr (est.),10000+ Employees,1868,Company - Public,Insurance Agencies & Brokerages,Insurance Agencies & Brokerages,$10+ billion (USD),3.6,3.8,3.9,3.6,3.9
INTEL,Data Analyst,4.1,Bengaluru,941300,/yr (est.),10000+ Employees,1968,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,3.9,4.2,3.6,4.1
Pfizer,Statistical Data Scientist,4,Chennai,0,Unknown,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3.7,3.9,3.8,3.4,3.8
ScaleIn,Data Scientist,,Bengaluru,483915,/yr (est.),Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
MOLECULAR CONNECTIONS,Data Scientist,3.7,Remote,0,Unknown,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Finquest,Data Engineer,3.2,Bengaluru,750000,/yr (est.),201 to 500 Employees,2016,Company - Private,Investment & Asset Management,Investment & Asset Management,Unknown / Non-Applicable,2.9,2.7,3.1,3.1,3.1
Meesho,Data Scientist II,3.5,Bengaluru,1024695,/yr (est.),1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.5,3.7,3.4,3.3,3.2
Yellow Bites,Data Analystics,,India,16000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Toolyt,Data Analyst,4.8,Jaipur,40000,/mo (est.),1 to 50 Employees,Unknown,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.9,4.6,4.9,4.9,4.6
CoStrategix,Member Data Analyst,3.9,Bengaluru,387298,/yr (est.),51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.9,3.5,3.9,3.7,3.6
Emerson,Data Science Engineer 1,3.9,Pune,794109,/yr (est.),10000+ Employees,1890,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.4,3.9,3.5,3.8
ABB,Data Science & AI Specialist,4,Bengaluru,773628,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Michelin,DATA - Scrum Master,4.1,Pune,0,Unknown,10000+ Employees,1889,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$10+ billion (USD),3.8,3.6,4.1,3.5,3.8
Thoucentric,Data Scientist,4.1,Bengaluru,858997,/yr (est.),201 to 500 Employees,2015,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.8,3.5,4.5,4.1,4
EPIC-INDIA,Data Analyst (DPIC),,Bhubaneshwar,307409,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
